text,label
Urgent action required,malicious
Your account is locked,malicious
Verify your identity now,malicious
Suspicious login detected,malicious
Click here to restore access,malicious
Update your payment details,malicious
Confirm your password immediately,malicious
You have won a lottery,malicious
Your PayPal account is at risk,malicious
Unauthorized transaction detected,malicious
Reset your password now,malicious
Limited-time offer! Act now!,malicious
Final notice: Account suspension,malicious
Security alert from your bank,malicious
Your package delivery is on hold,malicious
Claim your free gift card,malicious
Your email is compromised,malicious
Account verification required,malicious
Urgent security update needed,malicious
Click here to unlock your account,malicious
"Exclusive deal, limited time",malicious
Claim your prize now,malicious
Immediate payment required,malicious
Action required to avoid suspension,malicious
Final warning: Payment overdue,malicious
Reactivate your account today,malicious
Your subscription has expired,malicious
Verify your payment method,malicious
Login to view confidential message,malicious
Security check required,malicious
"One-time offer, don't miss it",malicious
You've received a secure message,malicious
Unusual login detected from new device,malicious
Important notice from IT department,malicious
Banking alert: Verify your details,malicious
Quick verification required,malicious
Your tax refund is ready,malicious
Confirm your details to proceed,malicious
Your credit card has been compromised,malicious
Update billing information now,malicious
Pay your overdue balance immediately,malicious
Your account will be suspended in 24 hours,malicious
Reset your banking PIN,malicious
Confirm your transaction,malicious
Security update: Change your password,malicious
Claim your compensation today,malicious
Restricted account access alert,malicious
"Your payment failed, update now",malicious
Verify your phone number,malicious
We've detected unusual activity,malicious
Reactivate your credit card,malicious
Unlock your account with one click,malicious
Final step to activate your account,malicious
"Limited stock available, order now!",malicious
"Exclusive VIP access, click here",malicious
"Your invoice is attached, check now",malicious
Email confirmation pending,malicious
Secure your personal details,malicious
Your online banking access is frozen,malicious
Last reminder: Account verification,malicious
Immediate attention needed,malicious
Confirm your email to continue,malicious
Password recovery request,malicious
Your social security number is at risk,malicious
Official notice: Immediate verification,malicious
Your financial details need updating,malicious
Enter your credentials to proceed,malicious
Protect your account from fraud,malicious
Reset your two-factor authentication,malicious
Urgent action needed for security reasons,malicious
Your transaction history shows suspicious activity,malicious
Your Apple ID has been locked,malicious
Confirm payment for recent purchase,malicious
Account under review: Additional details required,malicious
Your health insurance is expiring,malicious
Your bank statement is ready,malicious
"Payment declined, update details",malicious
New message from customer support,malicious
Confidential document attached,malicious
Your phone bill is overdue,malicious
Click to receive your cash reward,malicious
Your driver’s license has been flagged,malicious
Access your report instantly,malicious
This is your last warning,malicious
Lottery winnings confirmation,malicious
Update your card information,malicious
Your recent order has been delayed,malicious
Secure your wallet now,malicious
Login required to verify identity,malicious
Take action to prevent identity theft,malicious
Authorize this transaction immediately,malicious
Your crypto account is at risk,malicious
New email settings detected,malicious
Urgent changes required for compliance,malicious
Claim your holiday bonus now,malicious
Check your rewards points balance,malicious
Your online account has been compromised,malicious
Important security alert,malicious
New voicemail notification,malicious
Unusual withdrawals from your account,malicious
Download the attachment for details,malicious
Meeting scheduled for tomorrow,benign
Let's catch up over coffee,benign
See you at the office,benign
Reminder: Team lunch on Friday,benign
Your package is out for delivery,benign
Happy birthday! Have a great day,benign
Let’s schedule a call next week,benign
Your recent order has shipped,benign
Invoice attached for your reference,benign
Can you review this document?,benign
Your feedback is appreciated,benign
Congratulations on your promotion!,benign
Please find the report attached,benign
Meeting room is booked for you,benign
Looking forward to our meeting,benign
Reminder: Submit your timesheet,benign
Check out this new article,benign
Hope you are doing well!,benign
Thanks for your support!,benign
Here’s the latest project update,benign
Please approve the budget request,benign
Upcoming holiday schedule update,benign
New feature release announcement,benign
Lunch break extended today,benign
Reminder: Join the webinar at 3 PM,benign
Your travel itinerary is confirmed,benign
Can you send me the report?,benign
Thanks for your quick response,benign
Congratulations on your achievement!,benign
Survey link for your feedback,benign
Please update your availability,benign
Confirming our dinner plans,benign
Looking forward to your presentation,benign
See you at the conference,benign
Your hotel booking is confirmed,benign
Check your calendar for the meeting,benign
Your parcel is ready for pickup,benign
Review the attached agenda,benign
Your subscription renewal is successful,benign
Enjoy your weekend!,benign
Office will be closed for maintenance,benign
Have a safe flight!,benign
Check the newsletter for updates,benign
Team-building activity planned for next week,benign
Welcome to the company!,benign
Here’s your flight boarding pass,benign
Reminder: Doctor’s appointment at 10 AM,benign
Lunch meeting confirmed,benign
Can you double-check the details?,benign
Your package has arrived,benign
The project deadline is approaching,benign
Thanks for your cooperation,benign
Congratulations on your anniversary!,benign
Reminder: Water the plants,benign
Thanks for your purchase!,benign
Check out this cool gadget,benign
Movie night this weekend?,benign
See you at the wedding!,benign
We appreciate your business,benign
Your balance statement is available,benign
Order successfully placed!,benign
Reminder: Take your medication,benign
Hope you had a great vacation!,benign
Birthday party invitation attached,benign
Your e-ticket is confirmed,benign
Book club meeting rescheduled,benign
Lunch break at 1 PM today,benign
Looking forward to seeing you!,benign
Here's the latest book release,benign
Holiday party invitation,benign
Family gathering this Sunday,benign
Hope you have a wonderful day!,benign
Reminder: Yoga class at 6 PM,benign
Dinner reservation confirmed,benign
Good luck on your exam!,benign
Enjoy the concert tonight!,benign
Your car service is scheduled,benign
New store opening near you!,benign
Library book return reminder,benign
Your monthly report is ready,benign
Join our community event,benign
Your workout plan is updated,benign
Welcome to our online course!,benign
Reminder: Gym membership renewal,benign
Your payment was successful,benign
Dinner at my place tonight?,benign
Check out the latest blog post,benign
Safe travels to your destination!,benign
Thank you for your patience!,benign
Your digital receipt is attached,benign
Looking forward to our next project,benign
Movie tickets confirmed,benign
Game night at my place,benign
Thanks for the lovely gift!,benign
Here’s a recipe you might like,benign
